Nimi,Järjestys,Lyhenne,Vaaliliittoja
Edistykselliset,1,Edist,2
Murros - konservatiiviset opiskelijat,2,Murros,1
Opiskelijoiden Sosialidemokraattinen Yhdistys,3,OSY,1
HYAL,4,HYAL,2
Osakunnat & Svenska Nationer och Ämnesföreningar,5,Os-SNÄ,3
Maailmanpyörä,6,MP,2
HELP,7,HELP,3
