Nimi,Järjestys,Lyhenne,Vaaliliittoja
Liberaalinen Vaaliliitto - yksilöllisyyden ja valinnanvapauden edistämiseksi,1,LIB,1
HELP,2,HELP,3
Osakunnat & Svenska Nationer och Ämnesföreningar,3,Os-SNÄ,3
HYAL,4,HYAL,7
Maailmanpyörä,5,MP,3
Edistykselliset,6,Edist,2
