--PAIKKOJA
# Edustajiston paikkamäärä.
60
--ARVONTATAPA
tamy
--RENKAAT
# renkaan numero, nimi, tunnus
112, 3, Kantola Heikki, 3
113, 3, Keränen Pauliina, 9
114, 3, Kettunen Eeva-Leena, 6
115, 3, Koski Mika, 2
116, 3, Kuukka Riina, 3
117, 3, Laaksonen Marika, 13
118, 3, Laitinen Eevamaija, 92
119, 3, Leskinen Hanna, 99
120, 3, Lukkari Tero, 5
121, 3, Orola Niilo, 1
122, 3, Typpö Annamari, 8
123, 3, Varonen Petri, 4
124, 3, Vitikainen Vesa, 5
125, 3, Finni Perttu, 6
126, 3, Himanen Pasi, 6
127, 3, Hämäläinen Laura, 1
128, 3, Junnikkala Vesa, 47
129, 3, Kuivalainen Kaisa, 6
130, 3, Kähö Karoliina, 1
131, 3, Lauha Riikka, 1
132, 3, Lepistö Anssi, 3
133, 3, Linkola Salla, 5
134, 3, Mattila Ulla, 8
135, 3, Myllynen Maija, 2
136, 3, Närhinsalo Annu, 1
137, 3, Parjanen Perttu, 6
138, 3, Salvola Tanja, 6
139, 3, Siponen Terhi, 1
140, 3, Vaisto Heikki, 12
141, 3, Talka Katri, 3
142, 4, Aarnio Johanna, 8
143, 4, Aho Milla, 1
144, 4, Ahonen Sirpa, 2
145, 4, Asikainen Tanja, 12
146, 4, Bonsdorff Juhani, 3
147, 4, Granberg Minna, 4
148, 4, Heinonen Johanna, 14
149, 4, Hemminki Akseli, 13
150, 4, Hult Heini, 28
151, 4, Kaasalainen Piia, 9
152, 4, Kaila Aurora, 3
153, 4, Kaila Anja, 6
154, 4, Kajanne Ville, 4
155, 4, Kaskikari Kirsti, 9
156, 4, Kaskikari Riitta, 6
157, 4, Kotilainen Esa, 5
158, 4, Lappalainen Matti, 5
159, 4, Leppänen Antti, 5
160, 4, Liekso Hannu, 24
161, 4, Linkola Anni, 23
162, 4, Maila Satu, 5
163, 4, Miekkavaara Arto, 0
164, 4, Natunen Jari, 18
165, 4, Nordlund Kim, 3
166, 4, Näätänen Marko, 3
167, 4, Ojares Rami, 8
168, 4, Oksanen Ilona, 7
169, 4, Paavilainen Ari, 4
170, 4, Palminkoski Leni, 2
171, 4, Parviainen Juuso, 16
172, 4, Rauramo Juhana, 3
173, 4, Riikonen Antti Aleksi, 5
174, 4, Rintala Virve, 1
175, 4, Ruismäki Maiju, 2
176, 4, Saarinen Pia, 3
177, 4, Sahlberg Heidi, 4
178, 4, Sahlberg Mauri "MOS", 9
179, 4, Salonen Jan, 5
180, 4, Sauri Eeva, 3
181, 4, Setälä Vienna, 19
182, 4, Siniranta Niina, 0
183, 4, Skwarek Jaroslaw, 2
184, 4, Sundbäck Irene, 34
185, 4, Suonsyrjä Timo, 5
186, 4, Tuovinen Antti-Pekka, 3
187, 4, Tommila Miika, 3
188, 4, Uotila Johanna, 6
189, 4, Virtanen-Pietiläinen Virpi, 4
190, 4, Vänttinen Taija, 6
191, 4, Erikäinen Timo "Pikku-Timppa", 21
192, 4, Jokinen Maria, 12
193, 4, Laitakoski Hanna, 7
194, 4, Malmberg Petri, 0
195, 4, Pulkkinen Sanna, 1
196, 4, Suomi Pasi, 6
197, 4, Troberg Martti, 8
198, 4, Vesisenaho Terhi, 4
199, 5, Burjam Noora, 11
200, 5, Haapanen Minna, 0
201, 5, Hannula Anna, 16
202, 5, Ilves Kristiina, 4
203, 5, Joutsi Lotta, 6
204, 5, Jäntti Sami, 5
205, 5, Kalliokoski Johanna, 6
206, 5, Leino Iiro Ilmari, 1
207, 5, Leväniemi Terhi, 3
208, 5, Lindberg Annika, 2
209, 5, Liukkonen Tommi, 3
210, 5, Miettinen Katri, 2
211, 5, Mäkinen Tommi, 5
212, 5, Nousmaa Esko, 2
213, 5, Rakkolainen Ari, 5
214, 5, Ridell Marika, 7
215, 5, Salminen Tomi, 6
216, 5, Salo Satu, 26
217, 5, Sillvan Nina, 8
218, 5, Silvola "Kata", 4
219, 5, Silvonen Sarianna, 2
220, 5, Syrjä Vesa, 43
